2022-12-07 12:01:28,248 fast_small_tt_512_finetune_ic17mlt.py INFO: (341/783) LR: 0.000987 | Batch: 0.304s | Total: 2min | ETA: 2min | Loss: 0.257 | Loss(text/kernel/emb/rec): 0.095/0.115/0.047/0.000 | IoU(text/kernel): 0.790/0.581 | Acc rec: 0.000
2022-12-07 12:01:31,061 fast_small_tt_512_finetune_ic17mlt.py INFO: (351/783) LR: 0.000987 | Batch: 0.303s | Total: 2min | ETA: 2min | Loss: 0.256 | Loss(text/kernel/emb/rec): 0.095/0.115/0.047/0.000 | IoU(text/kernel): 0.790/0.581 | Acc rec: 0.000
2022-12-07 12:01:33,991 fast_small_tt_512_finetune_ic17mlt.py INFO: (361/783) LR: 0.000986 | Batch: 0.303s | Total: 2min | ETA: 2min | Loss: 0.255 | Loss(text/kernel/emb/rec): 0.094/0.114/0.047/0.000 | IoU(text/kernel): 0.791/0.581 | Acc rec: 0.000
2022-12-07 12:01:36,672 fast_small_tt_512_finetune_ic17mlt.py INFO: (371/783) LR: 0.000986 | Batch: 0.302s | Total: 2min | ETA: 2min | Loss: 0.254 | Loss(text/kernel/emb/rec): 0.094/0.114/0.047/0.000 | IoU(text/kernel): 0.792/0.582 | Acc rec: 0.000
2022-12-07 12:01:39,491 fast_small_tt_512_finetune_ic17mlt.py INFO: (381/783) LR: 0.000985 | Batch: 0.301s | Total: 2min | ETA: 2min | Loss: 0.253 | Loss(text/kernel/emb/rec): 0.093/0.114/0.046/0.000 | IoU(text/kernel): 0.792/0.582 | Acc rec: 0.000
2022-12-07 12:01:42,264 fast_small_tt_512_finetune_ic17mlt.py INFO: (391/783) LR: 0.000985 | Batch: 0.301s | Total: 2min | ETA: 2min | Loss: 0.252 | Loss(text/kernel/emb/rec): 0.093/0.113/0.046/0.000 | IoU(text/kernel): 0.793/0.583 | Acc rec: 0.000
2022-12-07 12:01:45,020 fast_small_tt_512_finetune_ic17mlt.py INFO: (401/783) LR: 0.000985 | Batch: 0.300s | Total: 2min | ETA: 2min | Loss: 0.251 | Loss(text/kernel/emb/rec): 0.092/0.113/0.046/0.000 | IoU(text/kernel): 0.794/0.583 | Acc rec: 0.000
2022-12-07 12:01:47,987 fast_small_tt_512_finetune_ic17mlt.py INFO: (411/783) LR: 0.000984 | Batch: 0.300s | Total: 2min | ETA: 2min | Loss: 0.250 | Loss(text/kernel/emb/rec): 0.092/0.113/0.046/0.000 | IoU(text/kernel): 0.795/0.583 | Acc rec: 0.000
2022-12-07 12:01:50,644 fast_small_tt_512_finetune_ic17mlt.py INFO: (421/783) LR: 0.000984 | Batch: 0.299s | Total: 2min | ETA: 2min | Loss: 0.251 | Loss(text/kernel/emb/rec): 0.092/0.113/0.046/0.000 | IoU(text/kernel): 0.794/0.584 | Acc rec: 0.000
2022-12-07 12:01:53,462 fast_small_tt_512_finetune_ic17mlt.py INFO: (431/783) LR: 0.000984 | Batch: 0.299s | Total: 2min | ETA: 2min | Loss: 0.250 | Loss(text/kernel/emb/rec): 0.092/0.112/0.046/0.000 | IoU(text/kernel): 0.795/0.584 | Acc rec: 0.000
2022-12-07 12:01:56,152 fast_small_tt_512_finetune_ic17mlt.py INFO: (441/783) LR: 0.000983 | Batch: 0.298s | Total: 2min | ETA: 2min | Loss: 0.249 | Loss(text/kernel/emb/rec): 0.092/0.112/0.046/0.000 | IoU(text/kernel): 0.796/0.584 | Acc rec: 0.000
2022-12-07 12:01:58,867 fast_small_tt_512_finetune_ic17mlt.py INFO: (451/783) LR: 0.000983 | Batch: 0.298s | Total: 2min | ETA: 2min | Loss: 0.249 | Loss(text/kernel/emb/rec): 0.091/0.112/0.045/0.000 | IoU(text/kernel): 0.796/0.584 | Acc rec: 0.000
2022-12-07 12:02:01,703 fast_small_tt_512_finetune_ic17mlt.py INFO: (461/783) LR: 0.000982 | Batch: 0.297s | Total: 2min | ETA: 2min | Loss: 0.248 | Loss(text/kernel/emb/rec): 0.091/0.112/0.045/0.000 | IoU(text/kernel): 0.797/0.584 | Acc rec: 0.000
2022-12-07 12:02:04,634 fast_small_tt_512_finetune_ic17mlt.py INFO: (471/783) LR: 0.000982 | Batch: 0.297s | Total: 2min | ETA: 2min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.091/0.112/0.045/0.000 | IoU(text/kernel): 0.797/0.585 | Acc rec: 0.000
2022-12-07 12:02:07,185 fast_small_tt_512_finetune_ic17mlt.py INFO: (481/783) LR: 0.000982 | Batch: 0.296s | Total: 2min | ETA: 1min | Loss: 0.247 | Loss(text/kernel/emb/rec): 0.091/0.111/0.045/0.000 | IoU(text/kernel): 0.797/0.585 | Acc rec: 0.000
2022-12-07 12:02:10,088 fast_small_tt_512_finetune_ic17mlt.py INFO: (491/783) LR: 0.000981 | Batch: 0.296s | Total: 2min | ETA: 1min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.090/0.111/0.044/0.000 | IoU(text/kernel): 0.798/0.585 | Acc rec: 0.000
2022-12-07 12:02:12,694 fast_small_tt_512_finetune_ic17mlt.py INFO: (501/783) LR: 0.000981 | Batch: 0.295s | Total: 2min | ETA: 1min | Loss: 0.246 | Loss(text/kernel/emb/rec): 0.090/0.111/0.044/0.000 | IoU(text/kernel): 0.798/0.586 | Acc rec: 0.000
2022-12-07 12:02:15,451 fast_small_tt_512_finetune_ic17mlt.py INFO: (511/783) LR: 0.000980 | Batch: 0.295s | Total: 3min | ETA: 1min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.090/0.111/0.044/0.000 | IoU(text/kernel): 0.798/0.586 | Acc rec: 0.000
2022-12-07 12:02:18,132 fast_small_tt_512_finetune_ic17mlt.py INFO: (521/783) LR: 0.000980 | Batch: 0.295s | Total: 3min | ETA: 1min | Loss: 0.245 | Loss(text/kernel/emb/rec): 0.090/0.111/0.044/0.000 | IoU(text/kernel): 0.798/0.586 | Acc rec: 0.000
